16:05:2014_13:08:55.1562500PM #100000905,100000906,100000907,100000908,100000909
29:05:2014_14:31:00.7031250PM #100001021
29:05:2014_14:31:40.3750000PM #100001021,100001022
29:05:2014_14:44:13.3750000PM #100001021,100001022,100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001023
29:05:2014_14:58:49.9531250PM #100001021,100001022,100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001023
29:05:2014_15:11:22.3750000PM #100001007,100001021
29:05:2014_15:11:33.1406250PM #100001007,100001021
29:05:2014_15:39:26.2968750PM #100001007,100001021
29:05:2014_15:39:37.3125000PM #100001007,100001021
29:05:2014_15:39:51.1562500PM #100001007,100001021
29:05:2014_15:39:58.1562500PM #100001007,100001021
29:05:2014_15:40:09.0156250PM #100001007,100001021
29:05:2014_15:40:33.6093750PM #100001007,100001021
29:05:2014_16:21:00.9531250PM #100001007,100001021
29:05:2014_16:28:14.5312500PM #100001007,100001021
29:05:2014_16:42:08.7500000PM #100001007,100001021,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001022,100001023
29:05:2014_17:08:20.2343750PM #100001007,100001021,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001022,100001023,100001027
29:05:2014_17:16:00.9687500PM #100001007,100001021,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001022,100001023
29:05:2014_17:16:20.3437500PM #100001007,100001021,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001022,100001023,100001027
29:05:2014_17:18:04.4843750PM #100001007,100001021,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001022,100001023
29:05:2014_17:18:20.1562500PM #100001007,100001021,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001022,100001023,100001027
29:05:2014_17:21:02.8906250PM #100001007,100001021,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001022,100001023,100001027
29:05:2014_17:23:51.1718750PM #100001007,100001021,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001022,100001023,100001027
29:05:2014_17:36:41.1250000PM #100001007,100001021,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001022,100001023,100001027
29:05:2014_18:44:18.0312500PM #100001007,100001021,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001022,100001023,100001027
29:05:2014_18:45:31.3437500PM #100001007,100001015,100001027
29:05:2014_18:45:47.7656250PM #100001007,100001015,100001027
29:05:2014_19:11:14.0625000PM #100001007,100001015,100001027,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001028,100001029,100001030
29:05:2014_19:16:53.6875000PM #100001007, 100001015, 100001025, 100001027
29:05:2014_19:53:24.5312500PM #100001007, 100001015, 100001025, 100001027
29:05:2014_20:08:02.3281250PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_11:12:47.5468750AM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_11:13:22.5312500AM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_11:14:54.3906250AM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_11:19:45.3906250AM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_11:29:09.9375000AM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_11:50:13.4218750AM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_11:50:42.7500000AM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_11:51:04.9218750AM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_11:52:12.5000000AM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_11:54:40.7187500AM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_14:22:57.2031250PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_14:27:39.4218750PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_14:30:47.4531250PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_14:33:59.9218750PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_14:35:41.8750000PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_14:38:12.7031250PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_14:40:44.9531250PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_14:45:18.9531250PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_14:45:43.3906250PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_14:58:45.4062500PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_14:59:33.1093750PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_15:00:04.2812500PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_15:00:24.2968750PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_15:14:18.9531250PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_15:28:51.1718750PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_15:42:23.4531250PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_15:42:53.7187500PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_15:43:23.4843750PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_15:43:37.9218750PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_15:47:45.1093750PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_15:48:05.8281250PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_15:48:23.8593750PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
30:05:2014_15:49:49.4687500PM #100001007,100001008,100001009,100001010,100001011,100001012,100001013,100001014,100001015,100001016,100001017,100001018,100001019,100001020,100001021,100001022,100001023,100001024,100001025,100001026,100001027,100001028,100001029,100001030
05:06:2014_17:46:20.1718750PM #100001060,100001061,100001062
07:06:2014_16:11:23.7968750PM #100001060,100001061,100001062,100000969,100000970,100000971,100000972,100000973
07:06:2014_16:57:23.3750000PM #100001060,100001061,100001062,100000971,100000972
08:06:2014_14:48:22.3906250PM #100000971,100000972
08:06:2014_15:44:35.1562500PM #100000971,100000972
10:06:2014_15:48:57.5000000PM #100000971,100000972
10:06:2014_15:49:15.8125000PM #100000971,100000972
10:06:2014_15:50:13.6250000PM #100000971,100000972,100000970
10:06:2014_16:52:13.1250000PM #100000971,100000972,100000970
10:06:2014_16:53:13.0312500PM #100000971,100000972,100000970
10:06:2014_16:55:25.9375000PM #100000971,100000972,100000970
10:06:2014_16:56:27.1562500PM #100000971,100000972,100000970
10:06:2014_16:57:28.2343750PM #100000971,100000972
10:06:2014_16:59:32.6250000PM #100000971,100000972
10:06:2014_17:01:45.9531250PM #100000971,100000972
10:06:2014_17:01:46PM #100000971,100000972
10:06:2014_17:47:20.4375000PM #100000971,100000972
10:06:2014_17:49:34.2031250PM #100000971,100000972,100000973
10:06:2014_18:41:14.1562500PM #100000971,100000972,100000973
10:06:2014_18:42:15.4218750PM #100000971,100000972,100000973
10:06:2014_18:51:53.2343750PM #100000971,100000972,100000973
10:06:2014_18:55:00.4062500PM #100000971,100000972,100000973
10:06:2014_18:58:15.8437500PM #100000971,100000972,100000973
10:06:2014_18:58:28.7031250PM #100000971,100000972,100000973
10:06:2014_19:00:57.5312500PM #100000971,100000972
10:06:2014_19:03:17.0937500PM #100000971,100000972
10:06:2014_19:06:36.4843750PM #100000971,100000972
10:06:2014_19:07:51.2968750PM #100000971,100000972
10:06:2014_19:09:03.6250000PM #100000971,100000972
10:06:2014_19:18:36.2187500PM #100000971,100000972,100000973
10:06:2014_19:18:54.7656250PM #100000971,100000972,100000973
10:06:2014_19:19:19.4062500PM #100000971,100000972,100000973
10:06:2014_19:20:45.5000000PM #100000971,100000972
10:06:2014_19:21:52.2031250PM #100000971,100000972,100000973
10:06:2014_19:22:08PM #100000971,100000972
12:06:2014_11:58:36.6250000AM #100000971,100000972
12:06:2014_11:58:41.3125000AM #100000971,100000972
12:06:2014_12:02:14.1250000PM #100000971,100000972
12:06:2014_12:02:21.6406250PM #100000971,100000972
12:06:2014_12:02:24.2187500PM #100000971,100000972
12:06:2014_12:02:28.7812500PM #100000971,100000972
12:06:2014_12:02:31.3125000PM #100000971,100000972
12:06:2014_12:04:23.5781250PM #100000971,100000972
12:06:2014_12:04:25.6406250PM #100000971,100000972
12:06:2014_12:04:29.4531250PM #100000971,100000972
12:06:2014_12:04:32.0156250PM #100000971,100000972
15:06:2014_11:08:17.3593750AM #0
15:06:2014_11:09:14.8281250AM #100001115,100001116,100001117,100001118,100001119,100001120,100001121,100001122,100001123,100001124,100001125,100001126,100001127,100001128,100001129
15:06:2014_11:09:22.9375000AM #100001115,100001116,100001117,100001118,100001119,100001120,100001121,100001122,100001123,100001124,100001125,100001126,100001127,100001128,100001129
18:06:2014_15:15:30.3373329PM #100001131,100001132
18:06:2014_15:16:13.9154579PM #100001131,100001132
18:06:2014_15:18:17.3529579PM #100001131,100001132
18:06:2014_15:33:18.7279579PM #100001131,100001132,100001133,100001134,100001135,100001136,100001137,100001138,100001139
19:06:2014_14:35:35.7500000PM #100001131,100001132,100001133,100001134,100001135,100001136,100001137,100001138,100001139,100001140,100001143,100001144
19:06:2014_14:37:25.7656250PM #100001131,100001132,100001133,100001134,100001135,100001136,100001137,100001138,100001139,100001140,100001143,100001144
19:06:2014_14:38:09.2187500PM #100001131,100001132,100001133,100001134,100001135,100001136,100001137,100001138,100001139,100001140,100001143,100001144
20:06:2014_13:42:39.9687500PM #100001131,100001132,100001133,100001134,100001135,100001136,100001137,100001138,100001139,100001140,100001143,100001144
20:06:2014_13:44:38.1406250PM #100001131,100001132,100001133,100001134,100001135,100001136,100001137,100001138,100001139,100001140,100001143,100001144
20:06:2014_14:27:38.1250000PM #100001131,100001132,100001133,100001134,100001135,100001136,100001137,100001138,100001139,100001140,100001143,100001144
20:06:2014_14:31:47.6875000PM #100001131,100001132,100001133,100001134,100001135,100001136,100001137,100001138,100001139,100001140,100001143,100001144
20:06:2014_14:44:16.9218750PM #100001131,100001132,100001133,100001134,100001135,100001136,100001137,100001138,100001139,100001140,100001143,100001144
20:06:2014_14:57:26.2187500PM #100001131,100001132,100001133,100001134,100001135,100001136,100001137,100001138,100001139,100001140,100001143,100001144
20:06:2014_15:09:51.9375000PM #100001131,100001132,100001133,100001134,100001135,100001136,100001137,100001138,100001139,100001140,100001143,100001144
20:06:2014_15:15:16.1250000PM #100001131,100001132,100001133,100001134,100001135,100001136,100001137,100001138,100001139,100001140,100001143,100001144
20:06:2014_15:43:35.6406250PM #100001131,100001132,100001133,100001134,100001135,100001136,100001137,100001138,100001139,100001140,100001143,100001144
20:06:2014_15:47:45.9062500PM #100001131,100001132,100001133,100001134,100001135,100001136,100001137,100001138,100001139,100001140,100001143,100001144
20:06:2014_15:52:44.4062500PM #100001131,100001132,100001133,100001134,100001135,100001136,100001137,100001138,100001139,100001140,100001143,100001144
20:06:2014_16:47:54.2656250PM #0
20:06:2014_16:49:14.3906250PM #100001146,100001147,100001148,100001149,100001150,100001151
25:06:2014_18:48:39.9621934PM #100001116
02:07:2014_13:06:43.0204266PM #100001116
02:07:2014_13:25:55.7704266PM #100001116
02:07:2014_13:25:59.2704266PM #100001116
02:07:2014_13:26:04.5360516PM #100001116
20:08:2014_11:35:32.8507292AM #100001526,100001527
20:08:2014_11:37:10.2726042AM #100001526,100001527
20:08:2014_11:37:15.1632292AM #100001526,100001527
20:08:2014_11:43:38.8351042AM #100001526,100001527
20:08:2014_11:44:11.2257292AM #100001526,100001527
20:08:2014_11:45:11.6476042AM #100001526,100001527
20:08:2014_11:48:15.6944792AM #100001526,100001527
20:08:2014_11:52:56.0069792AM #100001526,100001527
20:08:2014_11:58:55.9601042AM #100001526,100001527,100001528
20:08:2014_12:35:24.5694792PM #100001526,100001527,100001528
20:08:2014_12:41:07.0538542PM #100001526,100001527,100001528,100001525
20:08:2014_12:43:08.9601042PM #100001526,100001527,100001528,100001525
20:08:2014_12:45:32.7101042PM #100001526,100001527,100001528,100001525
20:08:2014_13:23:48.6163542PM #100001526,100001527,100001528,100001525
20:08:2014_13:24:50.1163542PM #100001526,100001527,100001528,100001525
20:08:2014_19:22:09.3819792PM #100001526,100001527,100001528,100001525
20:08:2014_19:29:56.5538542PM #100001526,100001527,100001528,100001525
20:08:2014_19:35:48.1788542PM #100001530
20:08:2014_19:36:05.0538542PM #100001530
20:08:2014_19:44:36.9132292PM #100001530
20:08:2014_20:07:55.4601042PM #100001530
20:08:2014_20:08:27.9288542PM #100001530,100001524,100001525,100001526,100001528,100001529,100001532,100001531,100001533,100001534
20:08:2014_20:08:46.4132292PM #100001524,100001525,100001526,100001528,100001529,100001532,100001531,100001533,100001534
21:08:2014_11:24:07.1875000AM #100001530
22:08:2014_11:26:49.2656250AM #100001524,100001525,100001526,100001528,100001529,100001532,100001533,100001534,100001535,100001536
22:08:2014_11:28:51.6875000AM #100001524,100001525,100001526,100001528,100001529,100001532,100001533,100001534,100001535,100001536
22:08:2014_12:37:25.7187500PM #100001524,100001525,100001526,100001528,100001529,100001532,100001533,100001534,100001535,100001536
22:08:2014_12:40:09.5781250PM #100001524,100001525,100001526,100001528,100001529,100001532,100001533,100001534,100001535,100001536
22:08:2014_14:41:55.2500000PM #100001524,100001525,100001526,100001528,100001529,100001532,100001533,100001534,100001535,100001536
22:08:2014_14:49:10.5156250PM #100001524,100001525,100001526,100001528,100001529,100001532,100001533,100001534,100001535,100001536
22:08:2014_14:53:20.3593750PM #100001524,100001525,100001526,100001528,100001529,100001532,100001533,100001534,100001535,100001536
22:08:2014_14:57:31PM #100001524,100001525,100001526,100001528,100001529,100001532,100001533,100001534,100001535,100001536
22:08:2014_15:06:53.1875000PM #100001524,100001525,100001526,100001528,100001529,100001532,100001533,100001534,100001535,100001536
22:08:2014_15:31:08.4843750PM #100001524,100001525,100001526,100001528,100001529,100001532,100001533,100001534,100001535,100001536
22:08:2014_16:02:52.1562500PM #100001528
22:08:2014_16:03:01.7656250PM #100001528
22:08:2014_16:06:51.3281250PM #100001536
22:08:2014_16:07:07.1718750PM #100001536
22:08:2014_16:08:16.3750000PM #100001531
22:08:2014_16:08:56.4375000PM #100001530
22:08:2014_18:17:38.8593750PM #100001530
22:08:2014_18:21:29.4531250PM #100001530
22:08:2014_18:22:01.9218750PM #100001530
22:08:2014_18:25:00.5781250PM #100001524,100001525,100001526,100001528,100001529,100001532,100001533,100001534,100001535,100001536
22:08:2014_18:35:09.6718750PM #100001524,100001525,100001526,100001528,100001529,100001532,100001533,100001534,100001535,100001536
22:08:2014_18:49:46.5781250PM #100001524,100001525,100001526,100001528,100001529,100001532,100001533,100001534,100001535,100001536
